fweatherid,fweatherdate,temperature,fcaseprovinceid,fcasedate,fvaccinationdate,fvaccinationprovinceid,proportionfullyvaccinated,ratechangecases
2100155,2020-12-01,-20.8,60,2020-12-26,2020-12-19,60,0,130.74
2100407,2020-12-01,-22.2,60,2020-12-26,2020-12-26,60,0,130.74
2100301,2020-12-01,-15.1,60,2020-12-26,2020-12-26,60,0,130.74
2100184,2020-12-01,-14.9,60,2020-12-26,2020-12-26,60,0,130.74
2100181,2020-12-01,-14.9,60,2020-12-26,2020-12-26,60,0,130.74
2100155,2020-12-01,-20.8,60,2020-12-26,2020-12-26,60,0,130.74
2100407,2020-12-01,-22.2,60,2020-12-05,2020-12-19,60,0,130.74
2100301,2020-12-01,-15.1,60,2020-12-05,2020-12-19,60,0,130.74
2100184,2020-12-01,-14.9,60,2020-12-05,2020-12-19,60,0,130.74
2100181,2020-12-01,-14.9,60,2020-12-05,2020-12-19,60,0,130.74
2100155,2020-12-01,-20.8,60,2020-12-05,2020-12-19,60,0,130.74
2100407,2020-12-01,-22.2,60,2020-12-05,2020-12-26,60,0,130.74
2100301,2020-12-01,-15.1,60,2020-12-05,2020-12-26,60,0,130.74
2100184,2020-12-01,-14.9,60,2020-12-05,2020-12-26,60,0,130.74
